"MAX_PLAN_DT","PLAN_CTRL_CD","PLAN_CTRL_NUM"
1/2/1990,"R","2501"
1/9/1990,"R","2506"
1/12/1990,"R","2507"
1/5/1988,"N","2886"
2/17/1981,"S","596"
2/16/1982,"S","807"
3/11/1981,"N","710"
12/15/1987,"S","2065"
4/5/1982,"S","836"
3/1/1988,"R","2066"
11/8/1985,"R","1523"
6/20/1983,"R","859"
11/5/1981,"S","740"
6/16/1983,"S","1152"
1/4/1985,"N","1967"
8/23/1988,"R","2208"
12/6/1988,"S","2209"
9/3/1987,"N","2780"
7/1/1985,"S","1665"
9/15/1980,"S","528"
7/12/1982,"R","611"
1/30/1989,"N","3218"
11/21/1983,"S","1245"
3/8/1982,"R","515"
2/11/1985,"R","1337"
2/11/1985,"R","1338"
3/19/1984,"S","1333"
6/2/1981,"S","658"
10/9/1984,"N","1853"
11/16/1982,"R","714"
3/5/1984,"N","1586"
4/18/1985,"S","1608"
10/6/1986,"R","1681"
3/12/1982,"S","816"
8/12/1983,"N","1275"
10/3/1985,"R","1490"
10/21/1985,"S","1730"
9/24/1982,"N","1086"
9/30/1987,"N","2813"
11/8/1982,"S","994"
4/2/1986,"S","1820"
1/17/1986,"R","1567"
4/15/1988,"S","2114"
2/4/1983,"S","1050"
1/28/1983,"R","756"
5/16/1988,"S","2132"
6/19/1981,"R","361"
3/25/1981,"R","306"
2/19/1988,"N","2927"
2/29/1988,"N","2933"
5/3/1988,"N","3006"
8/3/1988,"N","3095"
9/9/1987,"S","2017"
9/18/1987,"S","2020"
4/14/1988,"S","2108"
5/10/1988,"S","2126"
12/5/1983,"N","1443"
1/12/1984,"N","1507"
3/27/1984,"S","1344"
6/9/1983,"S","1147"
4/27/1984,"S","1361"
8/23/1984,"R","1182"
9/11/1986,"N","2564"
1/21/1983,"S","1041"
9/15/1987,"N","2788"
10/16/1987,"N","2829"
7/27/1981,"R","384"
11/9/1983,"S","1233"
4/8/1987,"N","2680"
11/9/1982,"R","705"
1/18/1984,"R","997"
2/9/1984,"S","1304"
6/11/1984,"S","1393"
2/24/1986,"N","2422"
8/2/1984,"R","1165"
7/11/1986,"R","1636"
8/30/1984,"R","1189"
1/10/1985,"R","1318"
11/10/1981,"N","839"
10/13/1987,"R","1947"
1/14/1988,"N","2895"
6/12/1985,"R","1420"
4/7/1986,"N","2450"
4/2/1982,"S","833"
3/5/1984,"S","1322"
12/5/1984,"S","1519"
5/7/1984,"N","1668"
6/20/2002,"S","5963"
6/20/2002,"R","3821"
6/26/2002,"R","3822"
6/18/2002,"S","5960"
6/10/2002,"N","7473"
6/12/2002,"N","7475"
5/31/2002,"S","5937"
6/5/2002,"R","3815"
6/6/2002,"S","5929"
6/6/2002,"N","7471"
5/23/2002,"R","3802"
5/13/2002,"S","5919"
5/22/2002,"S","5909"
5/24/2002,"N","7461"
5/24/2002,"N","7462"
5/28/2002,"S","5935"
5/14/2002,"S","5926"
5/16/2002,"N","7451"
5/20/2002,"R","3807"
5/7/2002,"N","7421"
4/18/2002,"S","5898"
4/9/2002,"N","7412"
4/11/2002,"R","3785"
2/19/2002,"S","5865"
3/13/2002,"N","7404"
3/29/2002,"R","3779"
4/2/2002,"S","5875"
3/15/2002,"S","5866"
3/22/2002,"S","5882"
3/11/2002,"N","7399"
3/12/2002,"N","7402"
3/4/2002,"N","7390"
3/6/2002,"R","3767"
3/6/2002,"S","5872"
2/15/2002,"N","7379"
2/28/2002,"S","5870"
12/19/2001,"N","7342"
10/30/2001,"N","7275"
2/19/2002,"N","7349"
2/20/2002,"S","5819"
1/20/1988,"N","2908"
2/8/2002,"R","3762"
2/8/2002,"N","7316"
2/13/2002,"N","7327"
2/13/2002,"S","5795"
1/31/2002,"N","7351"
1/31/2002,"S","5827"
2/4/2002,"S","5857"
12/11/2001,"R","3737"
1/11/2002,"S","5810"
1/15/2002,"N","7166"
12/20/2001,"N","7323"
12/18/2001,"R","3742"
11/1/2001,"S","5772"
11/16/2001,"S","5789"
11/30/2001,"S","5801"
10/10/2001,"N","7286"
12/6/2001,"R","3732"
