"PLAN_CTRL_CD","PLAN_CTRL_NUM","MMS_COMPANY_NUM","BUS_ASC_NAME","PLAN_TYPE_CODE","PLAN_RECV_DATE","PLAN_COORDINATOR"
"R","2297","00185","Samedan Oil Corporation","POE",2/1/1989,"ES"
"R","2298","01500","TOTAL E&P USA, INC.","POE",2/2/1989,"ES"
"R","2299","00282","Dominion Exploration & Production, Inc.","POE",2/3/1989,"ES"
"R","2300","01364","Newfield Exploration Company","POE",2/6/1989,"ES"
"R","2301","01750","Pennzoil Exploration and Production Company","POE",2/6/1989,"ES"
"R","2302","00003","Union Oil Company of California","POE",2/6/1989,"ES"
"R","2303","00724","Marathon Oil Company","POE",2/8/1989,"ES"
"R","2304","00162","Eni Petroleum Co. Inc.","DOCD",2/13/1989,"ES"
"R","2305","02225","Freeport-McMoRan Sulphur Inc.","POE",2/13/1989,"ES"
"R","2306","01689","Murphy Exploration & Production Company","POE",2/13/1989,"ES"
"R","2307","01046","The Houston Exploration Company","POE",2/13/1989,"ES"
"R","2308","00001","Conoco Inc.","POE",2/13/1989,"ES"
"R","2309","00078","Chevron U.S.A. Inc.","POE",2/14/1989,"ES"
"R","2310","02225","Freeport-McMoRan Sulphur Inc.","POE",2/14/1989,"ES"
"R","2311","01103","EOG Resources, Inc.","POE",2/15/1989,"ES"
"R","2312","01103","EOG Resources, Inc.","POE",2/15/1989,"ES"
"R","2313","01103","EOG Resources, Inc.","POE",2/15/1989,"ES"
"R","2314","00250","ORYX ENERGY COMPANY","POE",2/16/1989,"ES"
"R","2315","01512","Aquila Energy Resources Corporation","POE",2/17/1989,"ES"
"R","2316","00771","Texaco Exploration and Production Inc.","DOCD",2/21/1989,"ES"
"R","2317","00540","MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.","POE",2/22/1989,"ES"
"R","2318","00846","Hall-Houston Oil Company","POE",2/22/1989,"ES"
"R","2319","00985","Union Exploration Partners, Ltd.","POE",2/24/1989,"ES"
"R","2320","01767","PRS Offshore, L.P.","POE",2/24/1989,"ES"
"R","2321","00056","ConocoPhillips Company","POE",2/28/1989,"ES"
"R","2322","00276","Exxon Mobil Corporation","POE",2/28/1989,"ES"
"R","2323","00003","Union Oil Company of California","DOCD",2/28/1989,"ES"
"S","4751","02219","Anadarko US Offshore LLC","DOCD",4/29/1998,"MT"
"S","4752","02140","Shell Deepwater Production Inc.","POE",4/29/1998,"RS"
"S","4753","01364","Newfield Exploration Company","POE",5/4/1998,"GN"
"S","4754","01777","Devon Louisiana Corporation","POE",4/29/1998,"AG"
"S","4755","02211","Newfield Exploration Gulf Coast LLC","DOCD",5/5/1998,"MT"
"S","4756","01834","Talos Petroleum LLC","DOCD",5/5/1998,"RS"
"S","4757","02219","Anadarko US Offshore LLC","DOCD",5/6/1998,"GN"
"S","4758","00491","EP Energy Management, L.L.C.","DOCD",5/6/1998,"AG"
"R","2006","01500","TOTAL E&P USA, INC.","POE",12/7/1987,"ES"
"R","2007","01103","EOG Resources, Inc.","POE",12/7/1987,"ES"
"R","2008","00078","Chevron U.S.A. Inc.","POE",12/11/1987,"ES"
"R","2352","02219","Anadarko US Offshore LLC","POE",3/29/1989,"ES"
"R","2353","00105","Apache Corporation","DOCD",4/3/1989,"ES"
"R","2354","00105","Apache Corporation","POE",4/3/1989,"ES"
"R","2355","01750","Pennzoil Exploration and Production Company","DOCD",4/3/1989,"WW"
"R","2356","00067","Sun Oil Company","POE",4/4/1989,"AG"
"R","2357","01046","The Houston Exploration Company","POE",4/10/1989,"MT"
"R","2358","00232","Odeco Oil & Gas Company","DOCD",4/11/1989,"WW"
"R","2359","00067","Sun Oil Company","POE",4/12/1989,"AG"
"R","2360","00021","MOBIL NOC INC.","DOCD",4/10/1989,"MT"
"R","2361","00001","Conoco Inc.","POE",4/14/1989,"WW"
"R","2362","00003","Union Oil Company of California","DOCD",4/17/1989,"AG"
"R","2363","00963","FMP Operating Company, a Limited Partnership","DOCD",4/18/1989,"MT"
"R","2364","01210","Wacker Oil Inc.","POE",4/18/1989,"WW"
"R","2365","00963","FMP Operating Company, a Limited Partnership","POE",4/18/1989,"AG"
"R","2366","00276","Exxon Mobil Corporation","POE",4/19/1989,"MT"
"R","2367","01680","BP Exploration & Oil Inc.","POE",4/20/1989,"WW"
"S","2426","00730","Walter Oil & Gas Corporation","POE",3/21/1990,"DT"
"S","2427","01108","Sandefer Offshore Operating Co.","DOCD",3/23/1990,"MT"
"S","2428","00689","Shell Offshore Inc.","DOCD",3/23/1990,"AG"
"S","2429","00748","SOCO Offshore, Inc.","POE",3/26/1990,"WW"
"S","2430","00774","Taylor Energy Company","DOCD",3/26/1990,"MJ"
"S","2431","00114","BP America Production Company","DOCD",3/27/1990,"DT"
"S","2432","02219","Anadarko US Offshore LLC","POE",3/28/1990,"MT"
"S","2433","00846","Hall-Houston Oil Company","DOCD",3/29/1990,"AG"
"S","2434","00774","Taylor Energy Company","DOCD",3/30/1990,"WW"
